START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,104,55499414-93B7-4043-A7FE-5045E29EDE00,,SHIFT BACK TO DEE / BUILD COUCH,4,,,,,,12,,,,12,R,,,,,,,,,,,,,,,
1,Cue,1,106,3DAF1466-84A5-4E6E-AB83-4F5195ED035A,,RESTORE TO REALISM / PULL TO COUCH,6,,,,,,,,,,6,,I,A,,,,,,,,,,,,,
1,Cue,1,108,8CEAB68E-DB46-40DB-BB08-3B84E9C4A1B3,,FX ACCENT DEE,0.5,,,,,,,,,,0.5,,,,,,,,,,,,E802 ,,,,
1,Cue,1,110,CF770713-3A23-4C0E-BE01-665F77F5DFE8,,RESTORE TO REALISM / PULL TO COUCH,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,112,DA8B56E5-A357-4CBE-8A32-2EC628D72EC2,,FX ACCENT DEE,0.5,,,,,,,,,,0.5,,,,,,,,,,,,E802 ,,,,
1,Cue,1,114,984A69C0-2900-4C3F-83B6-9D5BB236D7EC,,RESTORE STAGE,4.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,
1,Cue,1,116,EE14F7D0-6C32-4E03-A1B9-290F0BEE7E56,,SLOW FADE TO FIRE FX,30,,,,,,,,,,30,,,,,,,,,,,,E851 852 ,,,,
1,Cue,1,118,DCD40C23-5C6A-4A59-A57D-DDB505D82DDD,,SLOW FADE TO REALISM,30,,,,,,,,,,30,,,,,,,,,,,,,,,,
1,Cue,1,120,D8137C2D-8F43-4C06-9BA7-F5FCD9426CF2,,SHIFT TO VERSE DEE,,,,,,,,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,120,D8137C2D-8F43-4C06-9BA7-F5FCD9426CF2,1,,6,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,120,D8137C2D-8F43-4C06-9BA7-F5FCD9426CF2,20,MARK,3,,,,,,,,,,9,M,,,,,,,,,,,,,,,
1,Cue,1,122,DA2676CD-E551-4C79-9041-8C0734335FAD,,ADD ARI,4,,,,,,,,,,4,R,,,,,,,,,,,,,,,
